date,SampleID,Salinity_lab,mV,TempInSitu
20220810,2,33.41,-67.8,14.191
20220810,3,34.04,-78.5,16.52
20220810,4,34.99,-67.2,20.808
20220810,5,34.46,-60.9,24.358
20220810,6,34.21,-74.1,27.12
20220810,7,34.04,-70,25.802
20220810,8,34.04,-71.1,27.697
20220810,9,32.86,-67.3,12.11
20220810,10,33.65,-92.4,14.124
20220810,11,34.18,-92.3,17.399
20220810,12,33.49,-93.1,15.715
20220810,13,34.65,-92.8,14.414
20220810,14,35.35,-92.5,25.231
20220810,15,34.69,-91.8,30.157
20220810,16,33.75,-91.9,27.631
20220810,18,32.13,-93,13.064
20220810,sump,32.91,-95.9,9.624
20220811,2,33.36,-66.9,14.028
20220811,3,33.61,-70.1,13.789
20220811,4,34.19,-67,18.084
20220811,5,33.89,-65.5,19.83
20220811,6,33.86,-68.9,20.023
20220811,7,33.78,-69.7,19.368
20220811,8,33.74,-68.7,18.918
20220811,9,33.58,-69.6,11.506
20220811,10,33.95,-84.7,12.864
20220811,11,33.79,-84.6,15.268
20220811,12,33.78,-84.4,15.775
20220811,13,33.82,-84.8,17.382
20220811,14,33.92,-84.8,18.608
20220811,15,34.01,-83.9,22.552
20220811,16,33.94,-84.4,22.994
20220811,18,31.89,-85.8,11.711
20220811,sump,33.39,-86.7,9.971
20220812,2,32.6,-74.1,14.142
20220812,3,32.8,-75.1,14.165
20220812,4,32.9,-78.2,17.694
20220812,5,33.2,-69.8,19.721
20220812,6,32.7,-77.7,20.102
20220812,7,32.8,-76.1,19.563
20220812,8,32.9,-72.4,18.692
20220812,9,33.2,-73.8,11.524
20220812,10,32.9,-87,12.931
20220812,11,32.9,-86.7,15.277
20220812,12,32.9,-86.4,15.846
20220812,13,32.9,-86.6,18.154
20220812,14,32.8,-86.7,18.857
20220812,15,33,-86.1,22.532
20220812,16,32.9,-86,22.984
20220812,18,32.8,-87.8,11.641
20220812,sump,33.2,-88.1,10.396
20220812,2,32.6,-75.7,14.089
20220812,3,32.8,-74.5,13.851
20220812,4,32.9,-75.1,17.381
20220812,5,33.2,-71.5,19.501
20220812,6,32.7,-76.6,19.866
20220812,7,32.8,-75.3,19.346
20220812,8,32.9,-74.7,21.828
20220812,13,32.9,-92.3,19.01
20220812,14,32.8,-92.1,20.504
20220812,15,33,-94.1,22.586
20220812,16,32.9,-92.7,21.986
20220812,18,32.8,-92.1,11.667
20220812,sump,33.2,-89.8,10.922
20220813,2,32.5,-78.9,14.454
20220813,3,33,-78.2,14.001
20220813,4,33,-77.8,17.882
